representative_id,job_title,manual_relevance_score,rule_score_aspiring,rule_score_seeking,rule_score_average
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.6666666666666666,1.0,0.85,0.925
2,Native English Teacher at EPIK (English Program in Korea),0.0,0.0,0.0,0.0
3,Aspiring Human Resources Professional,1.0,1.0,0.85,0.925
4,People Development Coordinator at Ryan,0.3333333333333333,0.35,0.35,0.35
5,Advisory Board Member at Celal Bayar University,0.0,0.0,0.0,0.0
6,Aspiring Human Resources Specialist,1.0,1.0,0.85,0.925
7,Student at Humber College and Aspiring Human Resources Generalist,0.6666666666666666,1.0,0.85,0.925
8,HR Senior Specialist,0.6666666666666666,0.7,0.7,0.7
10,Seeking Human Resources HRIS and Generalist Positions,1.0,0.85,1.0,0.925
11,Student at Chapman University,0.0,0.0,0.0,0.0
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.3333333333333333,0.7,0.7,0.7
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,0.6666666666666666,0.7,0.7,0.7
27,Aspiring Human Resources Management student seeking an internship,1.0,1.0,1.0,1.0
28,Seeking Human Resources Opportunities,1.0,0.85,1.0,0.925
66,Experienced Retail Manager and aspiring Human Resources Professional,0.6666666666666666,1.0,0.85,0.925
67,"Human Resources, Staffing and Recruiting Professional",0.6666666666666666,0.7,0.7,0.7
68,Human Resources Specialist at Luxottica,0.6666666666666666,0.7,0.7,0.7
69,"Director of Human Resources North America, Groupe Beneteau",0.6666666666666666,0.7,0.7,0.7
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.",0.6666666666666666,0.85,1.0,0.925
71,"Human Resources Generalist at ScottMadden, Inc.",0.6666666666666666,0.7,0.7,0.7
72,Business Management Major and Aspiring Human Resources Manager,0.6666666666666666,1.0,0.85,0.925
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.",1.0,1.0,1.0,1.0
74,Human Resources Professional,0.6666666666666666,0.7,0.7,0.7
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,0.6666666666666666,1.0,0.85,0.925
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",0.6666666666666666,0.7,0.7,0.7
78,Human Resources Generalist at Schwan's,0.6666666666666666,0.7,0.7,0.7
79,Liberal Arts Major. Aspiring Human Resources Analyst.,0.6666666666666666,1.0,0.85,0.925
80,Junior MES Engineer| Information Systems,0.0,0.0,0.0,0.0
81,Senior Human Resources Business Partner at Heil Environmental,0.6666666666666666,0.7,0.7,0.7
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,0.6666666666666666,1.0,0.85,0.925
83,HR Manager at Endemol Shine North America,0.6666666666666666,0.7,0.7,0.7
84,Human Resources professional for the world leader in GIS software,0.6666666666666666,0.7,0.7,0.7
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),0.0,0.0,0.0,0.0
86,Information Systems Specialist and Programmer with a love for data and organization.,0.0,0.0,0.0,0.0
87,Bachelor of Science in Biology from Victoria University of Wellington,0.0,0.0,0.0,0.0
88,Human Resources Management Major,0.6666666666666666,0.7,0.7,0.7
89,Director Human Resources  at EY,0.6666666666666666,0.7,0.7,0.7
90,Undergraduate Research Assistant at Styczynski Lab,0.0,0.0,0.0,0.0
91,Lead Official at Western Illinois University,0.0,0.0,0.0,0.0
92,Seeking employment opportunities within Customer Service or Patient Care,0.0,0.0,0.0,0.0
93,Admissions Representative at Community medical center long beach,0.0,0.0,0.0,0.0
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,0.6666666666666666,0.85,1.0,0.925
95,Student at Westfield State University,0.0,0.0,0.0,0.0
96,Student at Indiana University Kokomo - Business Management - Retail Manager at Delphi Hardware and Paint,0.0,0.0,0.0,0.0
98,Student,0.0,0.0,0.0,0.0
99,Seeking Human Resources Position,0.6666666666666666,0.85,1.0,0.925
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,1.0,1.0,1.0,1.0
101,Human Resources Generalist at Loparex,0.6666666666666666,0.7,0.7,0.7
102,Business Intelligence and Analytics at Travelers,0.0,0.0,0.0,0.0
104,Director Of Administration at Excellence Logging,0.0,0.0,0.0,0.0
