representative_id,job_title,manual_relevance_grade
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,2
2,Native English Teacher at EPIK (English Program in Korea),0
3,Aspiring Human Resources Professional,3
4,People Development Coordinator at Ryan,1
5,Advisory Board Member at Celal Bayar University,0
6,Aspiring Human Resources Specialist,3
7,Student at Humber College and Aspiring Human Resources Generalist,2
8,HR Senior Specialist,2
10,Seeking Human Resources HRIS and Generalist Positions,3
11,Student at Chapman University,0
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",1
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,2
27,Aspiring Human Resources Management student seeking an internship,3
28,Seeking Human Resources Opportunities,3
66,Experienced Retail Manager and aspiring Human Resources Professional,2
67,"Human Resources, Staffing and Recruiting Professional",2
68,Human Resources Specialist at Luxottica,2
69,"Director of Human Resources North America, Groupe Beneteau",2
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.",2
71,"Human Resources Generalist at ScottMadden, Inc.",2
72,Business Management Major and Aspiring Human Resources Manager,2
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.",3
74,Human Resources Professional,2
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621",2
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,2
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",2
78,Human Resources Generalist at Schwan's,2
79,Liberal Arts Major. Aspiring Human Resources Analyst.,2
80,Junior MES Engineer| Information Systems,0
81,Senior Human Resources Business Partner at Heil Environmental,2
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,2
83,HR Manager at Endemol Shine North America,2
84,Human Resources professional for the world leader in GIS software,2
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),0
86,Information Systems Specialist and Programmer with a love for data and organization.,0
87,Bachelor of Science in Biology from Victoria University of Wellington,0
88,Human Resources Management Major,2
89,Director Human Resources  at EY,2
90,Undergraduate Research Assistant at Styczynski Lab,0
91,Lead Official at Western Illinois University,0
92,Seeking employment opportunities within Customer Service or Patient Care,0
93,Admissions Representative at Community medical center long beach,0
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,2
95,Student at Westfield State University,0
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint",0
98,Student,0
99,Seeking Human Resources Position,2
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,2
101,Human Resources Generalist at Loparex,2
102,Business Intelligence and Analytics at Travelers,0
103,Always set them up for Success,0
104,Director Of Administration at Excellence Logging,0

